 text class_label
671 ".@eaballesty @dileted @tim_geelen Those women are not exploited.  They make a calculated choice to use sex to advance careers." sexism
672 "@HotPocky1994 @TheGags29 @JTPuhlyak @orbvase No. Just listing two of the only degrees more useless than mine..." 
673 "@p4ndiamond I saw him, but I rarely engage male fems...zero point to it.  They are just following orders..." sexism
674 "@p4ndiamond Works for Huff Post...that's how they get jobs.  They hire the Whitest Knight." sexism
675 ".@Mich_McConnell It's fine, had the same argument 100s of times...you will eventually argue abortion has zero to do w/ having a kid or not" sexism
676 "@Mich_McConnell Just ""her body"" right?" sexism
677 ".@GRIMACHU Sounds a bit too much like ""separate but equal"". It's sexism, bias, bigotry, you name it. @MoJGovUK is clearly infested w bigots." 
678 "@thisonesakillaa @JusticeForAnita A well done, one...must say. Fem I was arguing w/ had RT me a few times..so I thought this was her cavalry" sexism
679 "RT @BloodmouthView: #TweetLikeAFeminist  #GamerGate an outlandish satirical piece of writing that takes a hearty stab at new Feminism http:…" sexism
680 "RT @PoliticalCynic: @MT8_9 @findingmariah NOW it makes sense.  #Feminism is all about being full of shit.  Got it!" sexism
681 "#INeedMeninismBecause watching feminists/their lapdogs have conniptions &amp; mock a movement created solely to mock THEIR movement = TOO funny." sexism
682 "RT @niceguy239372: @MT8_9 @ExposeFeminism @MeReachingout @mjjchgdm @sh00ter_d yeah rape culture is a lie!! So true http://t.co/CE6emx2zh9" 
683 "RT @amyalkon: Sad When The Most Basic Fairness To Men Is A Revolutionary Thing: Paternity fraud news in Washington State &amp; Detroit http://t…" sexism
684 "RT @brofreq: I was fortunate to catch this right when it was posted, 4th reply in. Get rekt Anita. #GamerGate http://t.co/PCtrrmpV2y" 
685 "@PardusXY The idea...or the argument?" sexism
686 "RT @PoliticalCynic: @MT8_9 @PardusXY If they didn't need inflated rape statistics for money grabbing, they would be cheering at this:  http…" sexism
687 "RT @ThatFrancopoli: @MT8_9 @Hacks4001 Ranch Dressing on pizza? WTF!?!??! No Pineapple was bad enough from these monsters!" sexism
688 """@thisonesakillaa: In my opinion? All jokes are ok. Nothing should be off-limits to joke about. Just pointing out hypocrisies"" #SorryItsABoy" 
689 "Welcome to my ""stupid emotionally crippled child who needs to put their fingers in their ears cuz life is hard"" list. http://t.co/Gb3n2XYwPg" sexism
690 "Since the feminists at #sorryitsaboy &amp; #everydaysexism NOW just LOVE ""jokes"" I thought they'd like this one...right? http://t.co/y5tE6iR650" sexism
691 ".@philippenis @DannyVelasco I made up nothing. A stoner said that and you are too ignorant of world events to know he's wrong. #sorryitsaboy" 
692 "RT @PrinceLaQroix: @MT8_9 @philippenis 29 boys no girls killed isn't violence against boys 2 of 6 killed by Eliot Rodger = girls and is vio…" sexism
693 ".@HumanistFury @Shermertron @jennykutner From now on, I'll use ""Little Girl"". Except it insults preteen females comparing them to feminists." sexism
694 "RT @kinghatemode: she made a gif of a black street fighter player as a monkey. she started getting heat for it  #GamerGate http://t.co/Dq73…" sexism
695 ".@Shermertron @HumanistFury Real question is do feminist liberal bigots understand that different rules for men/women is sexism @jennykutner" sexism
696 ".@Shermertron @HumanistFury ...that having different standards for white/black is racist?  Not ""equal"" at all...? Nope. @jennykutner @Salon" sexism
697 "RT @FO7935: @garbage_person @MT8_9 @thisonesakillaa Must suck not being able 2 reach your own potential in life. Must be cuz you're a woman…" sexism
698 "RT @Shermertron: @HumanistFury @MT8_9 @jennykutner I love how a journalist blocked me (ostensibly us) for criticizing her ""journalism.""" sexism
699 "@GenAnonCoward I knew this would be their response as soon as I saw the ad." sexism
700 "@She_TheWolf  True.  Just 99% of them." 
701 "@She_TheWolf Are you a feminist?" 
702 "RT @Feminazi_Front: @She_TheWolf @brotheryellow @MT8_9 here's a simple picture on why people dislike feminism. It's a simple concept http:/…" sexism
703 "@She_TheWolf @brotheryellow Men are.  Women cannot be.  Feminism says that's equal enough." sexism
704 "@SnugRailgun She blocked me and I blocked her, why is that sexual abuse apologist @Auragasmic in my TL?" 
705 "RT @kaijusoshingeki: @CultOfVivian @shoe0nhead Wow.... just... wow. You hear that, ladies? You don't have to be afraid if Anita has money. …" sexism
706 ".@RealTrumpsFeels Evidently Twit'n'Run feminist coward @Auragasmic unblocks me long enough to reply &amp; then reblocks me #WomenAgainstFeminism" sexism
707 "@p4ndiamond A known ""dudebro""." 
708 "@p4ndiamond Was on a Russian site once.  It was either Meninism or UVA Hoax, I think." sexism
709 "Self described ""radical feminist"" makes death threats against #GamerGate WOC for not doing/thinking as she was told. http://t.co/sVXfPPIhef" 
710 ".@WayneJBurrows @KirstArific He got one serve, not two.  Had to defend the doubles lines also." sexism
711 """@victorymonk: #sorryitsaboy joke means more boys will stay w/o couples willing to adopt them #WomenAgainstFeminism"" http://t.co/hMtwW3zP3T" sexism
712 "@chereecorbin Feminazi.  She changed it sarcastically from ""rad fem""." 
713 "@talisasofie Feminists think hating men is feminism." sexism
714 "@ErikaLopezDurel Bad seeds grow weeds.  Must be rooted out first or else you'd foundation cracks." sexism
715 "RT @MenOnStrike: #QuestionsForMen Why do we stand aside when a vocal minority screams we have more rights than women? http://t.co/Ea6VlrR9aa" sexism
716 "RT @RationalMale: #QuestionsForMen Do you realize how powerful feminism really is? http://t.co/xb0e1KiEfs" sexism
717 "RT @LynnD_P: #QuestionsForMen  Have you ever taken six weeks off from work, casually decide if you want to go back then choose to work part…" sexism
718 "@willberthelot Get a girl pregnant and find out..." 
719 "@willberthelot @naaadnerb Deadbeat dad-ism is ILLEGAL.  This is the LEGAL system screwing him." sexism
720 "@TheaGumbert @aussielung Abortion is convenient.  Your point?" sexism
721 "@tonygoz1e @AmyJoRyan I need...twit blocked me." sexism
722 "@g0ssipsquirrelx Take a guess...what %?" 
723 "@JacquesCuze @KimoiDoutei @aussielung Opt in solves these problems." 
724 "@LivBo23 Men are assaulted 5 times more than women." sexism
725 "@tammykennon Men are assaulted 5 times more than women." sexism
726 "@Ali_East_West Let's test that... http://t.co/Q518iRDd3B" sexism
727 "@RejectRaine @willberthelot Legally in a Western nation?" sexism
728 "@witch_sniffer @EscapeVelo I am amused greatly by the RedScareBot" 
729 ".@TheGags29 If feminists knew how many women ""internalized"" my ""misogyny"" theyd need safe space #WomenAgainstFeminism http://t.co/qT4laFeK7u" sexism
730 "@cisrabbit ""Loose"" was a Freudian reference..." sexism
731 ".@BristolBen @TheGags29 has either taken to some seriously ham fisted trolling or shes on meth/out of meth which I have suspected about her" 
732 ".@Ali_East_West @GenAnonCoward I know what a straw man is, Einstein.  What is the straw man here?" sexism
733 "RT @AnikaRoseAus: They say they care about men's rights but when speaking to groups who represent them - they block us. Seem they enjoy the…" sexism
734 "@DavidicLineage I present Exhibits V-Z that #FeminismIsAwful http://t.co/xDh0uVQEl5" sexism
735 "@RealTrumpsFeels ...or the fugly." sexism
736 "RT @YTM1staWu1fy: #QuestionsForMen Do you ever find it hard to take a # seriously when it is designed by a hardcore sexist? http://t.co/y9K…" sexism
737 ".@11twiggins So you oppose equal gender rights, do you?" 
738 "RT @Shermertron: @11twiggins So you DON'T plan on apologizing for your near-instant hypocrisy.  Okay. http://t.co/YwMC9iAl4V" 
739 "@HumanistFury ""Sorry"" for confusing me?  What am I looking at?" 
740 "@filthy_degen Everything I post is free to be reused." 
741 "RT @FrankWorleyPR: Ten things #feminists really don't care about http://t.co/0iDiNJgljE" 
742 "@kmx1974 Who said that?" sexism
743 "@kmx1974 Wrong and wrong." 
744 "@kmx1974 Google ""financial abortion""." sexism
745 "@kmx1974 Not even close to accurate. Are you intentionally obtuse?" 
746 "@Scyleet  Is @kmx1974 legit stupid or just trolling?" sexism
747 ".@kmx1974 @Scyleet No. I can just see you are either a dullard or have no intent on listening. So I refer you to Google. Which you fail at." sexism
748 "@HumanistFury @FeministFailure It's still going strong...but I will eventually devolve into pics of hot women ""Pam or Carmen""? Etc." sexism
749 "RT @TwittingSystem: @MT8_9 @ZombieNeith Huh. ""feminism is for fucking women""?Sign me up!" sexism
750 "@Dreysander1 Should be. I already have the advice for future college men.  Find older women OR date girls from ANY college but yours." sexism
751 "@Dreysander1 The college tribunals only apply if BOTH attend that school." sexism
752 "@LMargolez My Twitter account is hilarious. But I cannot take credit. The mind numbingly moronic feminist hypocrites deserve the credit." 
753 ".@kmx1974 @Scyleet You never Googled ""financial abortion"" OR you are too dumb to comprehend otherwise you would NOT ask what you did. Which?" sexism
754 "@Dreysander1 Hard to say.  I naively had my fun, not realizing the anvil above me.  I believe having that ""fun"" is key to later monogamy." 
755 "@Dreysander1 Sons are at much greater risk now than daughters because of feminist laws." sexism
756 "@Dreysander1 Absolutely." sexism
757 "@Dreysander1 I dunno.  Knowing what I know now or in today's environment, I would NOT date any girl from same school." sexism
758 "@DoWeWantTo @LMargolez Pedos." sexism
759 "@Dreysander1 Biurny Pegeuro put a man in jail for 20 years, never even had sex. Lied to her friends about ditching them at a club, so she..." sexism
760 "@Dreysander1 It took the priest a year to convince her to tell the cops.  He served 5 years out of 20.  She got 26 months." sexism
761 "RT @_chrisdowns_: #QuestionsForMen This one's good, and topical. http://t.co/RrP5IZrRpE" 
762 "@BLUNTmoms How?" 
763 "@BLUNTmoms Is that wrong?  Is forcing them into parenthood wrong?" sexism
764 "@Ryan140GG Nope. Adoption and safe haven.  She is not bound." 
765 "@UseUrTongue You need serious help, Gags.  I hope you find it. http://t.co/W1u9n2sjMh" sexism
766 "@DomesticPirate @Vosnic @uomo389 Not arguing against abortion but for his choice, too." 
767 "@UseUrTongue Get help.  Seriously." sexism
768 "@jakesayshibro Thanks. I appreciate that." 
769 "@sjhough Hey...how did you make that =/= thing?" sexism
770 "@Mora_Fornelli An enemy of @clementine_ford is good enough for me...F/F" 
771 "@IsabellaEscort When I ask them that verbatim question, they call me an abusive misogynist.  You?  Do you ever actually get an answer?" 
772 "@IsabellaEscort Please do sometime, let me know.  In Canada they just passed a bill led by feminists." sexism
773 "@holliebakerlutz Why was she fired, do you know?" 
774 "@holliebakerlutz What does that 23% figure represent?  How was it derived?" sexism
775 ".@BlackOpal80 Are you a feminist?  @WildeArthur" 
776 "@kmx1974  Stupid. Got it." 
777 "@jsydneym We found out quickly most of these ""questions"" were not looking for answers." sexism
778 "@DoctrineDark798 You should be able to save from here...right click or hold down on them and you should get a save option." sexism
779 "RT @mrlowercasea: #questionsforwomen #questionsformen Do you view someone less reasonably if they openly declare hatred of your gender? htt…" 
780 "@juliarforster Yes. http://t.co/ixbt0uc7HN" sexism
781 "@aly_552 Yes.  Am I a victim, too?" sexism
782 "@PariahPotimouth Shhh....it's a trap. http://t.co/umkBRTqYfA" sexism
783 "RT @Shermertron: @MT8_9 Has she been fired yet? Male writers for ""newspapers"" usually get fired for much less. #QuestionsForMen" sexism
784 "@ChristinaLoken1 Do you think implying someone can't get laid is ""sexist"" or ""abusive""?" sexism
785 "@PariahPotimouth Feminism." 
786 "@ChristinaLoken1 I derive the same meaning.  What have I missed?" sexism
787 "@anniekfox Why can't you tell?" sexism
788 "RT @RemyNorth: These #QuestionsForMen are mostly ignorant &amp; sexist. ""Do shitty things happen to you?"" ""Isn't your life perfect?"" ""How many …" sexism
789 "@anniekfox Can you give an example?" sexism
790 "@PariahPotimouth Couldn't fit in one tweet.  I followed it up." sexism
791 "@anniekfox Hmmm...that's a good point. Bathing in male tears is more of a feminist thing, huh?" sexism
792 "@vivant @tomsaw200 Oh? http://t.co/xOJhWhuI3Z" 
793 "@vivant @tomsaw200 You sure? http://t.co/THwiZ2qDBR" sexism
794 "@anniekfox There is literally photo evidence above...?" 
795 "@anniekfox Why are denying and marginalizing his abuse?" sexism
796 "@aussielung Conversely @Shermertron is a good guy and egalitarian." sexism
797 "@anniekfox So if he hit her in the same way for what she was wearing, that would be OK, too?" sexism
798 "@anniekfox I'll take that as you saying ""yes its OK for him to hit her in the same way""." 
799 "@julia_goo_lia @anniekfox Why are you body shaming her Man Hands?" 
800 "@anniekfox Who would that be?" sexism
801 "@Shermertron @aussielung Why can't shelters serve both?" 
802 "@Shermertron @aussielung Based on need, not gender?" sexism
803 "@I_Am_Chantastic Men are attacked 4 times more, just FYI." sexism
804 "@feministlah This is the tag's founder... http://t.co/FRGiq2MN1g" sexism
805 "@amberhasalamb Can you explain why this is wrong? http://t.co/pTkwk45P9P" 
806 "@amberhasalamb I have no misogynist views.  Feminism is an ideology, not a gender.  FYI." 
807 "@Transic_nyc With luck, she'll be a stylist..." 
808 "@amberhasalamb Can you comment on Ford doing the VERY thing she complains of...? http://t.co/gBvOjnmbcV" sexism
809 "@feministlah I'm looking for them...lot of hay on top of those needles." sexism
810 "@amberhasalamb ...in what way?" sexism
811 "@amberhasalamb I didn't realize I was supposed to treat you as a child whose opinion is irrelevant, sorry.  My bad." 
812 "@tsupdawgs @feministlah I'll take any screen grabs you have.  Thanks." sexism
813 "@amberhasalamb  Separate conversations.  She told a guy concerned about circumcision that he can't get laid.  Exactly what she whined about." sexism
814 "@hayleyjoness @Fatboyisangry1 That is feminism's doing, you realize?" 
815 "@hayleyjoness Why do you judge on genitals, rather than merit?  If a man works in an 80% female workplace, should he cry discrimination?" sexism
816 "@feministlah @GreenWeiner No.  Valid point.  I have never actually seen an MRA say he hates women (openly) like #KillAllMen etc." 
817 "@hayleyjoness Curious...do you know what the 23% (pay gap) figure refers to?  Do you know how it was derived?" sexism
818 "@feministlah @GreenWeiner No True Scotsman." sexism
819 "@feministlah @GreenWeiner ...who are mislabeled." sexism
820 "@hayleyjoness YW...?  Well, if you know that men and women do different jobs, why WOULD the pay be the same?" sexism
821 "RT @thesledgetobias: @MT8_9 @amberhasalamb My god, so it truly is a projection." 
822 "@hayleyjoness ...as a result there is a POSSIBLE supply of 100% of the population for all ""female"" jobs vs. maybe 20% for some ""male"" jobs." sexism
823 "@feministlah @GreenWeiner Women have more legal rights in every Western nation.  Who is privileged?" sexism
824 "@feministlah @GreenWeiner So feminism is NOT about equal rights, but a socio/polital movement?" sexism
825 ".@feministlah @GreenWeiner Way way more than one...and why not...that's how they arrive at ""male privilege""? #AntiSJW http://t.co/LmPvPJvsyx" sexism
826 "@feministlah @GreenWeiner Picture was gender neutral, but...sure." sexism
827 ".@feministlah @GreenWeiner I never said men didn't have privileges or that women didn't face biases, but its more 50/50 than one way street." 
828 "RT @jarod_frye: @MT8_9 @robinashe @hayleyjoness Actually I have. The same thing happens to African Americans, Spanish, and other minorities." sexism
829 "@SweetWalkTalk Not when it just ends in rape charges..." sexism
830 "@thereginamom @JDefiant9 @jeffj666 If Paul Elam said the same about women...you'd be screeching about it." sexism
831 "@JDefiant9 Well, I'd have no way of knowing. General point." 
832 """@Brittany_Blade: #FemFreeFriday because fems aren't actually doing anything for oppressed women in the Middle East."" http://t.co/pUYim4Q8jk" sexism
833 "@victorymonk @shaner38 @chappygolucky That was/is in reply to her." sexism
834 "RT @underwaterprick: What i learned from #QuestionsForMen http://t.co/GQLKJhWVqq" sexism
835 "@Shermertron Good job having her call you a loser...BTW That hypocrisy is gold.  Hopefully someone will see it." 
836 "@EuroSlavA @brenbarber She's great." sexism
837 "@EuroSlavA @brenbarber Those two are the only self ID'ed feminist I can think of who are legit." sexism
838 "@EuroSlavA @brenbarber I actually wish they would just start using ""egalitarian"" so we can just let feminist mean the misandrist hypocrites." sexism
839 ".@WayJamesO Yep. The Coyotes. They have an out in 2-3 years. #NHL would have gone to Seattle.  But no building. Vegas will get them instead." 
840 "@AJM9588 Hmm...which is the root cause of their hypocrisy.  You have swung me." sexism
841 "@BillRigg Picwhatting? And you have quoted none of the tweets.  What are you trying to say...?" 
842 "@PsychScientists @geekyjessica Can you explain why what she described there is wrong?" sexism
843 "@luckykaa It is our individual listing numbers on a Gamergate block list the SJW feminists created.  Worn with pride..." sexism
844 "@PsychScientists I meant this one. Can you explain why it's wrong/""sexist""? http://t.co/qMhfs4yIk3" 
845 "RT @BlackOpal80: Handy guide for what to expect when participating in #QuestionsForMen @MT8_9 http://t.co/Gh4ODnW9oj" sexism
846 "@shaner38 @scarmichael18 I know of NO places single men may in US.  Some states do bar ANY single parents.  Some only men." sexism
847 "@scarmichael18 @Synthovine Forgot already? http://t.co/a6noUBGcRR" 
848 ".@scarmichael18 @shaner38 He gets to legally decline parenthood during first 22 weeks after conception. 2 more weeks for her #choice after." sexism
849 "@scarmichael18 @shaner38 No idea what u said." 
850 "@shaner38 @scarmichael18 Kid.  Not sure if should is really shouldn't, etc?" sexism
851 "@shaner38 @scarmichael18 Would rather." 
852 ".@scarmichael18 @shaner38 She will often not know.  It should be opt in not opt out so that he must be told.  Or else they will hide it." sexism
853 "@scarmichael18 @shaner38 Not legally." 
854 "@scarmichael18 Every time I suggest it, feminists insist they will so if deadline passes, he should be stuck w/o choice." sexism
855 ".@scarmichael18 So, you will continue to oppose equality no matter the logic...?" sexism
856 "@TheShujaatAli @PsychScientists Me, too. It was going perfect. Got him on record when he thought it was just women before showing him truth." sexism
857 "@scarmichael18 How about you unfollow me while you are at it. Feminists who follow get blocked.  I hate to block so, plz unfollow.  Thanks." sexism
858 "@TheShujaatAli I like a multimedia approach." sexism
859 ".@TheShujaatAli Well, I assume you saw my Clem Ford stuff.  No MSM will write the truth about her. @AsheSchow maybe? http://t.co/XhXDywx5I7" 
860 "@TheShujaatAli @AsheSchow is awesome, if you don't know her.  Write the truth about feminism." sexism
861 "RT @FeministFailure: #QuestionsForMen Are you aware that feminism is teaching women that men cannot experience sexism or discrimination? ht…" sexism
862 "@basicrepublican My favorite...when they argue to deny men choice, they literally argue abortion is NOT a ""reproductive right""." sexism
863 "@malugatto No.  I'm not a sexist." sexism
864 "RT @TehMenz: #QuestionsForMen did you know that when you look at a girl - you rape her? http://t.co/glPlA1So3a" sexism
865 ".@basicrepublican Pretzel logic is understatement.  #SJWLogic is like a pretzel being beaten and tossed off the Sears Tower. Puddle logic..." 
866 ".@zBruceey @scarmichael18 Well...I'd bet on the latter... http://t.co/QA6MYr4Wdw" 
867 "@AsheSchow @TheShujaatAli Feminist writer...think Valenti of AU from what I know.  Started the # QuestionsForMen Huff Po &amp; others wrote up." sexism
868 "RT @TehMenz: #QuestionsForMen Did you know that scientists agree that women ""slut shame"" to make vaginas more valuable to you? http://t.co/…" sexism
869 "@ATLsportsPayton Because if an obvious GA sports nut DIDN'T...that would explain it all." sexism
870 "@DrJoanBeckwith You don't regard Ford as a problematic figure? http://t.co/8DmIDw7XPs" sexism
871 "@DrJoanBeckwith So, no issue with her doing the very thing she decries, then?" sexism
872 "@BlackOpal80 Yeah. My eye opener was a pay gap article. I know a little about econ...tried to explain why it was math, not sexism.  But..." sexism
873 "@BlackOpal80 ...I learned that doing so made me a ""misogynist""." sexism
874 ".@BlackOpal80 But not a joke, a lot of her writing created the false ""rape culture"" crisis &amp; whose theories were drivers of new CA rape law." sexism
875 ".@BlackOpal80 Then what REALLY opened my eyes. An article on financial abortion. Even, after reading, I still opposed. Responsibility, etc." 
876 ".@BlackOpal80 ...UNTIL I saw prochoice feminists in comments using VERBATIM ProLife arguments against men.  ""Selfish. Jerk. Think of child.""" sexism
877 ".@BlackOpal80 Realized then that selfish hypocrisy is the crux of modern feminism, not equality." sexism
878 ".@BlackOpal80 I know little more than I just told you. I just thought her smiling face of hypocrisy/misandry epitomized modern feminism." 
879 "RT @BlackOpal80: Well @MT8_9 I checked out Jessica Valenti's Twitter. Nice objectification of men and threats of violence. http://t.co/xRhx…" sexism
880 "@BlackOpal80 I'm blocked." sexism
881 "@BlackOpal80 People assume she saw my avi/name &amp; blocked.  Nope, blocked by her before I knew who she was. Fems use a block list. So..." sexism
882 "@BlackOpal80 ...as soon as you follow enough known anti-feminists their block list activates and blocks you.  Possible she is unaware of me." sexism
883 ".@BlackOpal80 But, the idea they want to do ANYTHING but lecture with dubious facts they don't want challenged is exposed by their blocking." sexism
884 ".@BlackOpal80 Yep, pathetic. Let's examine idea anti fems just hate women.  Do misogynists fight for their ""right"" to hate?  Or just hate?" sexism
885 ".@BlackOpal80 Like, if #GamerGate really just hated women, why bother with GG?  Need NO permission to hate. They could just hate/play games." sexism
886 "@NUBionicwoman Is it wrong to argue by implying the other person cannot get laid?" 
887 "@LucasDavid__ ..says an unthinking pussy.  Yawn." sexism
888 "@YTM1staWu1fy Sweden, man.  The Swedish men are cattle, at this point." 
889 ".@CriticalKaiju There is literally nothing more creatively pathetic than taking an existing film and just making a black or female version." sexism
890 ".@knux1995 Close up shop.  #Feminism is just a roadblock in #egalitarianism's way at this point.  #Equality must be equal.  Not gynocentric." sexism
891 "@bmackillopthio Hmm..possible.  I don't read tabloids. I just know he boxes.  Another guy had one.  Donald Trump.  Diva like, right?" sexism
892 "@bmackillopthio But, Trump gets called a megalomaniac.  Is that a gendered slur, too?  I never hear women called megalomaniacs." 
893 "@oscoscoscosc Exactly.  It's a sexist marketing ploy." sexism
894 "@BristolBen Not me. Either guns blazing or waiting quietly in my Trojan Horse..." sexism
895 ".@knux1995  Most Democrats now avoid ""liberal"" like it's diseased.  Stop propping up ""feminism"" w/ credit for the Women's Rights Movement..." 
896 ".@knux1995 ...allow word to evolve to it's current meaning (selfish misandry) and remove them from the #equality movement so adults can work" 
897 ".@knux1995 No, no...this is my view on how to move equality forward.  Must root out those who claim equality while working against it." sexism
898 "@bmackillopthio @DWidgy Define ""forcing""." sexism
899 "@KachoArinoDesu @Bananaramble Make a new damn movie, you hacks...is my point." 
900 "@kittiedolls @TiodeCapaNegra You have more legal rights than I do, is that OK?" sexism
901 "@bmackillopthio Don't know her, sorry." 
902 "@BrokeTilIGetRch @CriticalKaiju Nope." sexism
903 "@PardusXY @silverwolfcc Unrelated to Highlander.  I also prefer Fletch Lives over the first for same reason as GB 2.  Funnier, bottom line." 
904 "@Bananaramble Two of those three are already real..." sexism
905 ".@BigBadCharn Please identify the straw man, Dunce.  My sarcastic mocking hypothetical or those real examples?" sexism
906 "@wiemanindenwald Sooooo true." 
907 ".@rawobjectivism @robscragga @BlackOpal80 ""Google Christina Hoff Sommers Wage Gap or Pay Gap""  She uses real facts, not anecdotes. #EqualPay" sexism
908 "@dultery @Dex_is_Dope No joke.  A Swedish lawmaker proposed requiring men to sit when they pee..." sexism
909 "RT @CathyYoung63: Column in @ColumbiaSpec questions #EmmaSulkowicz coverage in view of my @thedailybeast piece http://t.co/z6jwJwnJSJ" 
910 "@Anthony3291 If they had any shame or self awareness, sure..." sexism
911 "Is it lost on most #QuestionsForMen was essentially Ford's way of exempting her schlocky clickbait from criticism? http://t.co/29pgEhzUQT" sexism
912 "@SultraSoV Yes and no.  1A issue but banned as ""sexist"" when a feminist shirt would not be..." sexism
913 ".@robscragga Start a Paetron.  Unless you are in UK, then you can claim disability." sexism
914 "@AutobotBlades First tweet in years and it's a total false equivalency.  Why? http://t.co/DcJprECjCx" sexism
915 ".@manishlimbu532 No.  No reliable numbers.  But, a small town police department did a nine year study of their cases once...41% false." sexism
916 "@thesledgetobias An Illinois PD studies nine years of their cases once....41% false." sexism
917 ".@abnormalcybias @manishlimbu532 Well, what differentiated it was they knew the number of rape complaints that recanted. Most only count..." sexism
918 ".@abnormalcybias @manishlimbu532 ...women who are actually charged/convicted of it.  It's almost NEVER prosecuted. Cops just close the case." sexism
919 "@abnormalcybias @manishlimbu532 ""Google false rape accusation 41%"" might work." 
920 "@thesledgetobias ?" sexism
921 ".@ListenToRaisin Never said ""men are smarter"". I said feminists are stupid. Most women are not feminists. But 100 answers... I'll focus on 2" 
922 ".@ListenToRaisin Patriarchy is a myth, so the system has no push back &amp; feminists use chivalry &amp; benevolent sexism masterfully to own ends." 
923 ".@ListenToRaisin No question. Feminists have the media. Did you see any mention of Clem Fords OPEN bigotry, etc?  Nope. ""Narrative"" is all." sexism
924 "@JakePentland @ListenToRaisin Rock is much closer to Socrates than most know..." sexism
925 "@shanifrr @CordovanSplotch Excuse me, did you say that feminism is for everyone, including men?" sexism
926 ".@ILivUndrUrBed @Bananaramble @ListenToRaisin  Yes. Your apathy." 
927 ".@ListenToRaisin @ILivUndrUrBed @Bananaramble The fate of most feminists..." sexism
928 "@sara771987 ...like I said.  A ""symbol"" is a ""symbol"".  Jewelry, however, can be pawned later." sexism
929 ".@ILivUndrUrBed  Anything but yourself.  Like EVERY feminist on Earth." sexism
930 "@TehMenz A genuinely interesting question...of course, the answer is predictable and boring." 
931 "@LoveAndLonging ...how is that example ""sexism""?" sexism
932 "@plaidcat9 He was also just existing, no?" 
933 "@ILivUndrUrBed @CarolynnEva No." sexism
934 ".@WayneJBurrows @adriennecgomez @ListenToRaisin ...feminism would only have a name issue." sexism
935 "@JamesBolton11 Yup." 
936 "@HumanistFury You pay, yes.  Split, no.  She pays, no." sexism
937 "@HumanistFury @ListenToRaisin Remember ""Gaga""?  What would you guess her IQ to be?" sexism
938 "@Audmum1 @ILivUndrUrBed @CarolynnEva You linked to BLASPHEMY!!!" 
939 "@HumanistFury @ListenToRaisin  They are mostly borderlines, yes.  W/ mucho NPD mixed in... &amp; lots of bipolarity." sexism
940 "@BristolBen @HumanistFury @ListenToRaisin Suspended, here under a new acct.  Stalked me for a day or so.  Legit ""issues.""  Kid gloves on..." 
941 "@HumanistFury @ListenToRaisin @BristolBen ...unless it's at her (pencil filled) hands, of course." 
942 "@HumanistFury @ListenToRaisin @BristolBen I have about 12 like that.  Would be hilarious if she didn't need help so bad." sexism
943 ".@BristolBen @HumanistFury @ListenToRaisin ...and a few I like talking to even if I know, they will be same as others when push comes to..." sexism
944 "@sexyconserv  Both. My desire to play video games is never stronger than after sex.  Can finally focus on something other than sex..." sexism
945 "So, feminists will trend #FeministsAreUgly and then complain how the fact #FeministsAreUgly is trending is proof of misogyny in society.  K." sexism
946 "RT @unpccomix: @MT8_9 Thought you might like one of my comics. From UnPC Comix :) http://t.co/RDzdCQHjSc" 
947 "@unpccomix I saw this the other day.  Excellent." sexism
948 "RT @asredasmyhair: Just going to keep this here so I can direct fems to it when they want to argue. My #WomenAgainstFeminism blog http://t.…" sexism
949 "@Fullerarty Ahem... http://t.co/Xdi7cMJHBo" sexism
950 "@ValiantRook I don't doubt other life but realistically don't think we'll see any evidence in any of our lifetimes so I don't think about it" 
951 "@ValiantRook But Riley was hilarious on Stern.  Hadn't thought about him (or the Biovians) in years." sexism
952 "@VanCanucks @CaptainCanuck0 Bitter Geno." sexism
953 "@NoBullshitGamin ...not what I'm looking at.  No." sexism
954 "@JDefiant9 I am tennis neutral.  Just setting up the joke." 
955 "@trishesdishes  No.  Name one men's right they fight for..." sexism
956 ".@a2daj123456 Thanks.  I think it's hilarious.  But, I realize there is a limited market for Terry Pendleton humor..." sexism
957 "@dultery Oh my...that is the trolling equivalent of a WMD.  A Meme of Mass Destruction." sexism
958 "@dultery I'll find a ""special occasion"".  Thanks." sexism
959 "@cjn159u ...for what possible stated reason?  To slow men down to women's pace...?" sexism
960 "@cjn159u This is what happens when you confer the dignity and respect of MLK and real civil rights leaders upon untreated borderlines nuts." sexism
961 "@cjn159u To an extent...we are not exactly overwhelmed with great options/choices." sexism
962 "@cjn159u You've seen the article by founder of NOW's sister, right?  More and more I see feminism thru this prism... http://t.co/7jOETvnH9A" 
963 "@cjn159u ...it's backdoor communism." sexism
964 "@cjn159u Have no answer there. Hillary is a horrifically flawed candidate, but...Bush? Romney? Santorum? Huckabee? Choice of shot or stabbed" sexism
965 "RT @thisonesakillaa: @MT8_9 I'm dying" sexism
966 "@mikeyfenn You appear to have common sense.  So, no, you'd be totally wrong." sexism
967 "@trishesdishes Are you aware women have more, not fewer legal rights than men?" sexism
968 "RT @TehMenz: #QuestionsForMen Did you know feminists think that violence is okay so long as the victim isn't seriously injured? http://t.co…" 
969 "@trishesdishes Why ignore my question to deflect with yours?  Are you aware men have LESS legal rights?  Is that equality?" 
970 "@GreenWeiner Let's test. http://t.co/cKdwbYwQ9V" 
